r,trajectory_id,step_id,PL,RMS,PL_minus_RMS,abs_PL_minus_RMS,PL_RMS_ratio,PL_plus_RMS,RMS_PL_ratio
1643.5844973715225,6,7,63.8,8.86,54.94,54.94,7.2,72.66,0.14
2128.854151885469,6,8,63.8,9.05,54.75,54.75,7.05,72.85,0.14
2501.956034785584,6,9,62.5,8.25,54.25,54.25,7.58,70.75,0.13
1077.2506672079624,7,0,62.2,8.63,53.57,53.57,7.21,70.83,0.14
796.4169762128379,7,1,62.0,8.37,53.63,53.63,7.41,70.37,0.13
1011.3738181305664,7,2,63.4,8.8,54.6,54.6,7.2,72.2,0.14
1400.3213916812097,7,3,62.6,8.22,54.38,54.38,7.62,70.82,0.13
1709.654058574424,7,4,62.4,7.96,54.44,54.44,7.84,70.36,0.13
1440.1586718136305,7,5,63.5,8.75,54.75,54.75,7.26,72.25,0.14
985.3182227077708,7,6,63.0,8.81,54.19,54.19,7.15,71.81,0.14
641.9197769192035,7,7,62.5,8.99,53.51,53.51,6.95,71.49,0.14
890.4470787194487,7,8,62.3,8.44,53.86,53.86,7.38,70.74,0.14
1382.7295469469077,7,9,62.2,8.0,54.2,54.2,7.77,70.2,0.13
729.2146460405194,8,0,61.7,7.97,53.73,53.73,7.74,69.67,0.13
957.4241484316134,8,1,62.3,8.57,53.73,53.73,7.27,70.87,0.14
1295.590212991747,8,2,62.5,8.32,54.18,54.18,7.51,70.82,0.13
922.3692319239622,8,3,62.4,8.32,54.08,54.08,7.5,70.72,0.13
1087.86488131569,8,4,62.3,8.57,53.73,53.73,7.27,70.87,0.14
1592.4352420114294,8,5,63.5,8.45,55.05,55.05,7.51,71.95,0.13
1427.5216285576903,8,6,64.1,10.22,53.88,53.88,6.27,74.32,0.16
1905.0262465383516,8,7,63.6,8.8,54.8,54.8,7.23,72.4,0.14
1703.5847498730434,8,8,62.7,8.28,54.42,54.42,7.57,70.98,0.13
2030.850560725727,8,9,63.6,8.38,55.22,55.22,7.59,71.98,0.13
985.334968424444,9,0,64.2,10.18,54.02,54.02,6.31,74.38,0.16
950.0910482685332,9,1,63.1,8.66,54.44,54.44,7.29,71.76,0.14
1127.6014366787583,9,2,62.8,8.76,54.04,54.04,7.17,71.56,0.14
1557.3618718846303,9,3,62.6,8.25,54.35,54.35,7.59,70.85,0.13
1123.6867891009488,9,4,62.0,8.23,53.77,53.77,7.53,70.23,0.13
1302.3647722508467,9,5,63.0,8.6,54.4,54.4,7.33,71.6,0.14
919.3954535454262,9,6,62.5,7.97,54.53,54.53,7.84,70.47,0.13
1355.9207203962922,9,7,62.5,8.2,54.3,54.3,7.62,70.7,0.13
1774.2899988446084,9,8,63.2,8.39,54.81,54.81,7.53,71.59,0.13
2143.238670797072,9,9,62.8,8.13,54.67,54.67,7.72,70.93,0.13
2177.5679093888207,10,0,64.0,9.35,54.65,54.65,6.84,73.35,0.15
2193.6601833465456,10,1,62.4,7.92,54.48,54.48,7.88,70.32,0.13
2240.0698649818937,10,2,63.4,8.64,54.76,54.76,7.34,72.04,0.14
1760.3147445840475,10,3,62.5,7.85,54.65,54.65,7.96,70.35,0.13
1364.0912726060526,10,4,63.4,8.81,54.59,54.59,7.2,72.21,0.14
1236.70287458225,10,5,63.2,8.69,54.51,54.51,7.27,71.89,0.14
947.4386523675292,10,6,63.1,9.1,54.0,54.0,6.93,72.2,0.14
1139.579747099781,10,7,62.8,8.85,53.95,53.95,7.1,71.65,0.14
1362.8077634061233,10,8,63.2,8.81,54.39,54.39,7.17,72.01,0.14
1617.357412571507,10,9,62.8,8.88,53.92,53.92,7.07,71.68,0.14
1385.991702716867,11,0,62.6,8.62,53.98,53.98,7.26,71.22,0.14
956.2897050580436,11,1,63.3,9.36,53.94,53.94,6.76,72.66,0.15
1339.116499786333,11,2,62.3,8.2,54.1,54.1,7.6,70.5,0.13
1352.368293032634,11,3,63.4,8.84,54.56,54.56,7.17,72.24,0.14
